teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
800,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
800,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
800,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
800,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
800,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
800,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
800,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
800,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
800,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
800,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
800,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
800,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
800,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
